review,sentiment
review expressing similar view still feel impelled add comment film generally well made technical point view apart possibly long acting mostly good although kevin spacey given much space explain character motivation apparently ambition rather racism sandra bullock function seems eye candy admittedly manages well br br fundamental level film heart right place opposed racism get impression tried set kind definitive treatment racism perhaps many famous name agreed however seems writer bit far could chew read book know much grisham biggest problem many others said end advocating vigilante justice aside fact agree position think view actually help anti racist cause likely applied acquit white defendant kill black victim end prosecutor invite jury audience imagine raped girl white follow imagine defendant white man murdered black rapist end message seems ok kill someone long hate enough also convenient man killed presented totally evil guilt doubt remove moral ambiguity likely real case br br samuel l jackson give excellent performance unfortunately also undermines plot come across someone considerable integrity hard believe would willing hide behind insanity plea indeed push come shove presumably supposed think face death penalty fact one point offered plea manslaughter although blink might miss take given must know chance acquittal slim want make stand court plead insanity br br less serious flaw medical expert whose testimony case supposedly rest joke discredited highly implausible reason neither offer real psychiatric diagnosis message seems expert witness say whatever asked say believed fact injured policeman support jackson moderately plausible still bit convenient died find hard believe kkk would march street broad daylight apparently serious crime riot arson kidnapping attempted murder go without visible attempt detect prosecute scene dog come bounding back ludicrous br br final reaction left feeling rather dirty though must racist disagree resolution may film intended explore different viewpoint leave audience decide seem forgotten time got end film make think view read people thought add opinion level maybe succeeded worry may inforced highly illiberal view people hope opposite intended br br final thought try watching law order cover issue like much depth minute screen time,0
art house maven dream overrated overpraised overdone pretentious melange deserve best picture merit dwarfed competition start place sun detective story streetcar named desire abbott costello meet invisible man name came better arthouse crapola closing ballet claptrap intellectual crowd place wrong movie actor time less capable acting less charismatic kelly caron worst saw movie among worst best picture oscar winner,0
movie funny mindless funny enjoy movie completely perception film like go enjoy side joke pun involved film still find bit start funny say want beer cock funny stuff make film decent fact try hard create serious spin film many comedy try serious aspect believe different focus funny must say though yasmin bleeth terrible film add nothing main guy coop remer squeak funny watch make film great watch,1
stan laurel became smaller half time greatest comedy team laboured contract broncho billy anderson series cheapies many parody major hollywood feature laurel parody film mildly funny even less funny modern audience seen original movie laurel parodying fortunately mud sand lampoon movie still well known blood sand starring rudolph valentino blood sand released nine week parody giving idea quickly broncho billy movie ground edited distributed br br various source including imdb state stan laurel character film named rhubarb vaselino final screened print mud sand original title hobo type font report laurel role actually cried rhubarb vaseline e agree vaselino funnier laurel copy elaborate sideburn valentino wore blood sand made longer parody valentino dressing scene movie made female movie goer swoon señorita named carmen original film parodied caramel girl like sink teeth br br movie like original apparently take place spain yet prohibition gag laurel us distinctive hat tipping gesture could become trademark like hardy distinctive necktie twiddle never spotted laurel film amusing dialogue rhubarb vaseline tell matador save bull vaseline becomes successful toreador lackey tell bull without sir funny disappointed laurel reply without br br one funny moment almost certainly planned vaseline show bullfighter audition laurel swagger bullring say corrida querida toss bull fence land thump near auditioners bull obviously fake gag funny anyway aye title card joke throwing bull serendipitous moment occurs laurel repeat gag vaseline sling second bull fence one land butt balance upright instant toppling funny somebody planned gag quickie comedy salute unknown gagsmith tech man rigged bull land position likely happened luck director editor smart enough keep br br silent era whenever hollywood made big budget feature film set anyplace people speak english common cinematic device show piece text inscription local lingo dissolve shot text english surprised low budget comedy spent money copy device see notice board outside corrida message spanish dissolve text english unfortunately photography cheapo movie dark effect wasted br br actress movie attractive including broncho billy wife leona anderson stan laurel common law wife mae dahlberg latter briefly pretty dance mae danced stan vaudeville act surprised spot charlie chaplin half brother wheeler dryden brief role since chaplin nothing movie mud sand laurel give funny performance quite unlike later familiar stanley character film much less funny brilliant work oliver hardy rating trivia note twenty three year later stan laurel last american film bullfighter played spanish bullfighter spanish voice post dubbed coincidentally film used stock footage blood sand valentino movie tyrone power remake mud sand funnier bullfighter much,0
course plot script especially casting strong film many fine thing see one aspect liked especially idea antagonist luzhini turturro ex mentor working evil sideline chess opponent italian dandy three piece cane turn real gent truly fine chess player credit opponent nobly go along plan end complete final game championship posthumously luzhin taken flyer window sad releasing way unstable genius widow emily watson death gallantry honorable chess master luzhin defence worked late moment lucidity allowed played italian gent commends play call brilliant talk dramatic end game,1
particularly moved understated courage integrity l anglaise beautifully acted intellectually visually compelling film thank much monsieur le directeur rohmer,1
almost made fool going start review saying movie reminded billy elliot looked resume screenwriter lee hall find guy wrote billy elliot mr hall making fool br br bit cruel lee something aspiring screenwriter britain foot door previously written successful british movie award made money box office next give audience br br young jimmy spud life kitchen sink estate bullied school one love thing keeping going aspiration ballet dancer actually aspiration angel considering household may well ballet dancer macho waster father think ballet dancer bunch poof granddad say ballet dancer tough man could meet remember seeing bolshoi ballet yup ballet main talking point run british council estate day come think neither left wing politics seems sole preserve middle class gooders live nice big house right away everything set feel ridiculously false br br another major criticism film clue trying appeal often criticised channel broadcasting movie totally inappropriate time land time forgot example showed got spot considering story involves politics ballet dancing gawd hate lung cancer poverty way deemed suitable family audience since main protagonist year old child feature angel ballet dancer blame seem obsessed subject need refer much intelligent adult audience either br br course lee hall told script development stage producer write story featuring schoolboy angel flatly refused saying wanted write theme story apologise throughout movie get feeling film completed going marketed exact audience enjoyed billy elliot,0
unrelenting non stop top explosive melodrama movie one worst action flick ever produced utterly unbelievable every way pace constantly fever pitched action actor gripped total hysteria nigh unwatchable stain nay blotch career everyone involved br br wildly exaggerated attempt excitement undermines resulting movie go come time setting event impossible take even remotely seriously rate abomination br br want see good asteroid movie see deep impact intense sensitive thoroughly engrossing everything armageddon,0
want cynical pedantic could point opening raf lancaster bomber mortally wounded nd may somewhat unlikely since german air defence lively adolph hitler day movie viewed cynical audience guess character killed literally last hour war add poignancy fact survived second world war fully appreciate intellect beauty soul powell pressburger masterpiece scene heaven painfully twee viewed today view movie context made raf bomber command lost men war number america lost nam shorter period far far smaller pool active combatant atheist fox hole doubt lost relative conflict view material atheism sensible thing richar attenborough young pilot look awe sight many war hero must openly wept scene remembered much missed comrade survive war also bare mind despite losing several million people seems people germany passing pearly gate obvious nazi go heaven br br plot dashing young pilot peter carter arguing life front celestial court much appeal subtext see matter life death highly political visionary film lament end british empire replaced american ambition little thing show film made people aware american history culture one ethnic mix america even today many briton think usa overwhelmingly composed white anglo saxon protestant fact american white european film rightly contains scene multitude different race confess american peter judged abraham farlan anglophobe first revolutionary killed british force american war independence special relationship britain america special relationship powell pressburger know history come britain america obviously know future br br remember watch movie mind past mind present strange beautiful poignant clever film would never ever work made last year imagine story set revolved around british soldier killed iraq,1
jack sawyer sayid swim boat find completely wasted desmond traumatic past experience sailing island disclosed flashback sayid plot plan jack surprise others case michael double crossing group john locke convinces desmond invade hatch protected mr eko press button computer see happen br br episode one best second season unfortunately lover lost see lack respect producer stunning series fan usa air date episode may therefore along period fan wait third season suspenseful situation jack group surrounded others finding truth michael death ana lucia libby john locked inside hatch without intention pushing button mr eko despair outside hatch hope fate lost better angel disappointing conclusion lack conclusion five season vote ten br br title brazil available,1
